InfoStructure_PAR_start_ms,InfoStructure_PAR_end_ms,InfoStructure_PAR_duration,Buffer_ms,Tier,Value,Begin_ms,End_ms,Duration,Overlap_time,Overlap_ratio,Diff_start,Diff_end
7660,8010,350,0,GE-Phrase,203,7612,9471,1859,350,1.0,48,-1461
7660,8010,350,0,GE-Phase,preparation,7612,8445,833,350,1.0,48,-435
12059,14017,1958,0,GE-Phrase,205,13467,16449,2982,550,0.281,-1408,-2432
12059,14017,1958,0,GE-Phase,preparation,13467,14334,867,550,0.281,-1408,-317
23185,24876,1691,0,GE-Phrase,209,23217,24642,1425,1425,0.843,-32,234
23185,24876,1691,0,GE-Phrase,210,24642,25844,1202,234,0.138,-1457,-968
23185,24876,1691,0,GE-Phase,preparation,23217,23638,421,421,0.249,-32,1238
23185,24876,1691,0,GE-Phase,stroke,23638,24372,734,734,0.434,-453,504
23185,24876,1691,0,GE-Phase,retraction,24372,24642,270,270,0.16,-1187,234
23185,24876,1691,0,GE-Phase,preparation,24642,25190,548,234,0.138,-1457,-314
73497,74483,986,0,GE-Phrase,222,72217,74052,1835,555,0.563,1280,431
73497,74483,986,0,GE-Phase,retraction,73497,74052,555,555,0.563,0,431
89400,90328,928,0,GE-Phrase,224,88270,90113,1843,713,0.768,1130,215
89400,90328,928,0,GE-Phrase,225,90113,92132,2019,215,0.232,-713,-1804
89400,90328,928,0,GE-Phase,retraction,89371,90113,742,713,0.768,29,215
89400,90328,928,0,GE-Phase,preparation,90113,90446,333,215,0.232,-713,-118
111080,111933,853,0,GE-Phrase,233,110395,111156,761,76,0.089,685,777
111080,111933,853,0,GE-Phrase,234,111156,111929,773,773,0.906,-76,4
111080,111933,853,0,GE-Phrase,235,111929,112681,752,4,0.005,-849,-748
111080,111933,853,0,GE-Phase,stroke,110561,111156,595,76,0.089,519,777
111080,111933,853,0,GE-Phase,preparation,111156,111611,455,455,0.533,-76,322
111080,111933,853,0,GE-Phase,stroke,111611,111929,318,318,0.373,-531,4
111080,111933,853,0,GE-Phase,stroke hold,111929,112471,542,4,0.005,-849,-538
7660,8010,350,0,GE-Phrase,203,7612,9471,1859,350,1.0,48,-1461
7660,8010,350,0,GE-Phase,preparation,7612,8445,833,350,1.0,48,-435
12059,14017,1958,0,GE-Phrase,205,13467,16449,2982,550,0.281,-1408,-2432
12059,14017,1958,0,GE-Phase,preparation,13467,14334,867,550,0.281,-1408,-317
23185,24876,1691,0,GE-Phrase,209,23217,24642,1425,1425,0.843,-32,234
23185,24876,1691,0,GE-Phrase,210,24642,25844,1202,234,0.138,-1457,-968
